user_id,latitude,longitude,datetime
USER_000,17.385451,78.48400849999999,2008-10-23 02:53:04
USER_000,17.3854415,78.484025,2008-10-23 02:53:10
USER_000,17.385443000000002,78.48400849999999,2008-10-23 02:53:15
USER_000,17.385444,78.4839925,2008-10-23 02:53:20
USER_000,17.3854275,78.4839315,2008-10-23 02:53:25
USER_000,17.3854055,78.483813,2008-10-23 02:53:30
USER_000,17.385404,78.48368049999999,2008-10-23 02:53:35
USER_000,17.3853815,78.48355849999999,2008-10-23 02:53:40
USER_000,17.3853695,78.483447,2008-10-23 02:53:45
USER_000,17.385403,78.48333249999999,2008-10-23 02:53:50
USER_000,17.385384000000002,78.4832555,2008-10-23 02:53:55
USER_000,17.385393,78.483158,2008-10-23 02:54:00
USER_000,17.3853805,78.48306349999999,2008-10-23 02:54:05
USER_000,17.385368,78.482977,2008-10-23 02:54:10
USER_000,17.385361500000002,78.48289399999999,2008-10-23 02:54:15
USER_000,17.385358,78.48278149999999,2008-10-23 02:54:20
USER_000,17.385361500000002,78.4827115,2008-10-23 02:54:25
USER_000,17.385387,78.4826055,2008-10-23 02:54:30
USER_000,17.385384000000002,78.48250349999999,2008-10-23 02:54:35
USER_000,17.385369,78.482374,2008-10-23 02:54:40
USER_000,17.3853505,78.4822535,2008-10-23 02:54:45
USER_000,17.385366,78.482204,2008-10-23 02:54:50
USER_000,17.385352,78.4821125,2008-10-23 02:54:55
USER_000,17.3853425,78.482013,2008-10-23 02:55:00
USER_000,17.3853135,78.48192,2008-10-23 02:55:05
USER_000,17.3853425,78.481821,2008-10-23 02:55:10
USER_000,17.38534,78.481709,2008-10-23 02:55:15
USER_000,17.3853505,78.4816295,2008-10-23 02:55:20
USER_000,17.385409,78.4819615,2008-10-23 02:55:25
USER_000,17.3854245,78.4818535,2008-10-23 02:55:30
USER_000,17.3854105,78.4817705,2008-10-23 02:55:35
USER_000,17.3854275,78.481662,2008-10-23 02:55:40
USER_000,17.3854405,78.4815605,2008-10-23 02:55:45
USER_000,17.385454,78.4814555,2008-10-23 02:55:50
USER_000,17.385454,78.4813495,2008-10-23 02:55:55
USER_000,17.385448,78.48126049999999,2008-10-23 02:56:00
USER_000,17.3854385,78.481173,2008-10-23 02:56:05
USER_000,17.385441,78.4810625,2008-10-23 02:56:10
USER_000,17.3854245,78.480966,2008-10-23 02:56:15
USER_000,17.385420500000002,78.4808615,2008-10-23 02:56:20
USER_000,17.3854235,78.4807585,2008-10-23 02:56:25
USER_000,17.385427,78.48066,2008-10-23 02:56:30
USER_000,17.3854155,78.48058449999999,2008-10-23 02:56:35
USER_000,17.3854235,78.48049,2008-10-23 02:56:40
USER_000,17.3854265,78.48039449999999,2008-10-23 02:56:45
USER_000,17.385414,78.480313,2008-10-23 02:56:50
USER_000,17.385426,78.480227,2008-10-23 02:56:55
USER_000,17.385428,78.48013,2008-10-23 02:57:00
USER_000,17.385408,78.48006699999999,2008-10-23 02:57:05
USER_000,17.385438,78.47996499999999,2008-10-23 02:57:10
USER_000,17.385449,78.47983149999999,2008-10-23 02:57:15
USER_000,17.385448,78.4797685,2008-10-23 02:57:20
USER_000,17.3854315,78.4797255,2008-10-23 02:57:25
USER_000,17.385399,78.47967449999999,2008-10-23 02:57:30
USER_000,17.38537,78.47962799999999,2008-10-23 02:57:35
USER_000,17.3853625,78.4795515,2008-10-23 02:57:40
USER_000,17.385349,78.479474,2008-10-23 02:57:45
USER_000,17.3853405,78.4793865,2008-10-23 02:57:50
USER_000,17.385344500000002,78.4792965,2008-10-23 02:57:55
